"","file","pat","block","diag","ch"
"1","cyclic_003204_13_sera__position1_RG.gpr","p1_c","1","A","G"
"2","cyclic_003204_13_sera__position10_K4.gpr","p10_c","1","K","G"
"3","cyclic_003204_13_sera__position11_RK.gpr","p11_c","1","F","G"
"4","cyclic_003204_13_sera__position12_VS.gpr","p12_c","1","X","G"
"5","cyclic_003204_13_sera__position13_K5.gpr","p13_c","1","K","G"
"6","cyclic_003204_13_sera__position14_NV.gpr","p14_c","1","A","G"
"7","cyclic_003204_13_sera__position15_LG.gpr","p15_c","1","X","G"
"8","cyclic_003204_13_sera__position16_SK.gpr","p16_c","1","F","G"
"9","cyclic_003204_13_sera__position2_K2.gpr","p2_c","1","K","G"
"10","cyclic_003204_13_sera__position3_PG.gpr","p3_c","1","F","G"
"11","cyclic_003204_13_sera__position4_AA.gpr","p4_c","1","X","G"
"12","cyclic_003204_13_sera__position5_K3.gpr","p5_c","1","K","G"
"13","cyclic_003204_13_sera__position6_TG.gpr","p6_c","1","A","G"
"14","cyclic_003204_13_sera__position7_MS.gpr","p7_c","1","X","G"
"15","cyclic_003204_13_sera__position8_AM.gpr","p8_c","1","F","G"
"16","cyclic_003204_13_sera__position9_PS.gpr","p9_c","1","A","G"
"17","cyclic-003204_13__prestain_position1_RG.gpr","p1_c","1","B","G"
"18","cyclic-003204_13__prestain_position10_K4.gpr","p10_c","1","B","G"
"19","cyclic-003204_13__prestain_position11_RK.gpr","p11_c","1","B","G"
"20","cyclic-003204_13__prestain_position12_VS.gpr","p12_c","1","B","G"
"21","cyclic-003204_13__prestain_position13_K5.gpr","p13_c","1","B","G"
"22","cyclic-003204_13__prestain_position14_NV.gpr","p14_c","1","B","G"
"23","cyclic-003204_13__prestain_position15_LG.gpr","p15_c","1","B","G"
"24","cyclic-003204_13__prestain_position16_SK.gpr","p16_c","1","B","G"
"25","cyclic-003204_13__prestain_position2_K2.gpr","p2_c","1","B","G"
"26","cyclic-003204_13__prestain_position3_PG.gpr","p3_c","1","B","G"
"27","cyclic-003204_13__prestain_position4_AA.gpr","p4_c","1","B","G"
"28","cyclic-003204_13__prestain_position5_K3.gpr","p5_c","1","B","G"
"29","cyclic-003204_13__prestain_position6_TG.gpr","p6_c","1","B","G"
"30","cyclic-003204_13__prestain_position7_MS.gpr","p7_c","1","B","G"
"31","cyclic-003204_13__prestain_position8_AM.gpr","p8_c","1","B","G"
"32","cyclic-003204_13__prestain_position9_PS.gpr","p9_c","1","B","G"
"33","linear_003216_02__prestain_position1_RG.gpr","p1_l","1","B","G"
"34","linear_003216_02__prestain_position10_K4.gpr","p10_l","1","B","G"
"35","linear_003216_02__prestain_position11_RK.gpr","p11_l","1","B","G"
"36","linear_003216_02__prestain_position12_VS.gpr","p12_l","1","B","G"
"37","linear_003216_02__prestain_position13_K5.gpr","p13_l","1","B","G"
"38","linear_003216_02__prestain_position14_NV.gpr","p14_l","1","B","G"
"39","linear_003216_02__prestain_position15_LG.gpr","p15_l","1","B","G"
"40","linear_003216_02__prestain_position16_SK.gpr","p16_l","1","B","G"
"41","linear_003216_02__prestain_position2_K2.gpr","p2_l","1","B","G"
"42","linear_003216_02__prestain_position3_PG.gpr","p3_l","1","B","G"
"43","linear_003216_02__prestain_position4_AA.gpr","p4_l","1","B","G"
"44","linear_003216_02__prestain_position5_K3.gpr","p5_l","1","B","G"
"45","linear_003216_02__prestain_position6_TG.gpr","p6_l","1","B","G"
"46","linear_003216_02__prestain_position7_MS.gpr","p7_l","1","B","G"
"47","linear_003216_02__prestain_position8_AM.gpr","p8_l","1","B","G"
"48","linear_003216_02__prestain_position9_PS.gpr","p9_l","1","B","G"
"49","linear_003216_02_sera__position1_RG.gpr","p1_l","1","A","G"
"50","linear_003216_02_sera__position10_K4.gpr","p10_l","1","K","G"
"51","linear_003216_02_sera__position11_RK.gpr","p11_l","1","F","G"
"52","linear_003216_02_sera__position12_VS.gpr","p12_l","1","X","G"
"53","linear_003216_02_sera__position13_K5.gpr","p13_l","1","K","G"
"54","linear_003216_02_sera__position14_NV.gpr","p14_l","1","A","G"
"55","linear_003216_02_sera__position15_LG.gpr","p15_l","1","X","G"
"56","linear_003216_02_sera__position16_SK.gpr","p16_l","1","F","G"
"57","linear_003216_02_sera__position2_K2.gpr","p2_l","1","K","G"
"58","linear_003216_02_sera__position3_PG.gpr","p3_l","1","F","G"
"59","linear_003216_02_sera__position4 _AA.gpr","p4_l","1","X","G"
"60","linear_003216_02_sera__position5_K3.gpr","p5_l","1","K","G"
"61","linear_003216_02_sera__position6_TG.gpr","p6_l","1","A","G"
"62","linear_003216_02_sera__position7_MS.gpr","p7_l","1","X","G"
"63","linear_003216_02_sera__position8_AM.gpr","p8_l","1","F","G"
"64","linear_003216_02_sera__position9_PS.gpr","p9_l","1","A","G"
"65","cyclic_003204_13_sera__position1_RG.gpr","p1_c","1","A","R"
"66","cyclic_003204_13_sera__position10_K4.gpr","p10_c","1","K","R"
"67","cyclic_003204_13_sera__position11_RK.gpr","p11_c","1","F","R"
"68","cyclic_003204_13_sera__position12_VS.gpr","p12_c","1","X","R"
"69","cyclic_003204_13_sera__position13_K5.gpr","p13_c","1","K","R"
"70","cyclic_003204_13_sera__position14_NV.gpr","p14_c","1","A","R"
"71","cyclic_003204_13_sera__position15_LG.gpr","p15_c","1","X","R"
"72","cyclic_003204_13_sera__position16_SK.gpr","p16_c","1","F","R"
"73","cyclic_003204_13_sera__position2_K2.gpr","p2_c","1","K","R"
"74","cyclic_003204_13_sera__position3_PG.gpr","p3_c","1","F","R"
"75","cyclic_003204_13_sera__position4_AA.gpr","p4_c","1","X","R"
"76","cyclic_003204_13_sera__position5_K3.gpr","p5_c","1","K","R"
"77","cyclic_003204_13_sera__position6_TG.gpr","p6_c","1","A","R"
"78","cyclic_003204_13_sera__position7_MS.gpr","p7_c","1","X","R"
"79","cyclic_003204_13_sera__position8_AM.gpr","p8_c","1","F","R"
"80","cyclic_003204_13_sera__position9_PS.gpr","p9_c","1","A","R"
"81","cyclic-003204_13__prestain_position1_RG.gpr","p1_c","1","B","R"
"82","cyclic-003204_13__prestain_position10_K4.gpr","p10_c","1","B","R"
"83","cyclic-003204_13__prestain_position11_RK.gpr","p11_c","1","B","R"
"84","cyclic-003204_13__prestain_position12_VS.gpr","p12_c","1","B","R"
"85","cyclic-003204_13__prestain_position13_K5.gpr","p13_c","1","B","R"
"86","cyclic-003204_13__prestain_position14_NV.gpr","p14_c","1","B","R"
"87","cyclic-003204_13__prestain_position15_LG.gpr","p15_c","1","B","R"
"88","cyclic-003204_13__prestain_position16_SK.gpr","p16_c","1","B","R"
"89","cyclic-003204_13__prestain_position2_K2.gpr","p2_c","1","B","R"
"90","cyclic-003204_13__prestain_position3_PG.gpr","p3_c","1","B","R"
"91","cyclic-003204_13__prestain_position4_AA.gpr","p4_c","1","B","R"
"92","cyclic-003204_13__prestain_position5_K3.gpr","p5_c","1","B","R"
"93","cyclic-003204_13__prestain_position6_TG.gpr","p6_c","1","B","R"
"94","cyclic-003204_13__prestain_position7_MS.gpr","p7_c","1","B","R"
"95","cyclic-003204_13__prestain_position8_AM.gpr","p8_c","1","B","R"
"96","cyclic-003204_13__prestain_position9_PS.gpr","p9_c","1","B","R"
"97","linear_003216_02__prestain_position1_RG.gpr","p1_l","1","B","R"
"98","linear_003216_02__prestain_position10_K4.gpr","p10_l","1","B","R"
"99","linear_003216_02__prestain_position11_RK.gpr","p11_l","1","B","R"
"100","linear_003216_02__prestain_position12_VS.gpr","p12_l","1","B","R"
"101","linear_003216_02__prestain_position13_K5.gpr","p13_l","1","B","R"
"102","linear_003216_02__prestain_position14_NV.gpr","p14_l","1","B","R"
"103","linear_003216_02__prestain_position15_LG.gpr","p15_l","1","B","R"
"104","linear_003216_02__prestain_position16_SK.gpr","p16_l","1","B","R"
"105","linear_003216_02__prestain_position2_K2.gpr","p2_l","1","B","R"
"106","linear_003216_02__prestain_position3_PG.gpr","p3_l","1","B","R"
"107","linear_003216_02__prestain_position4_AA.gpr","p4_l","1","B","R"
"108","linear_003216_02__prestain_position5_K3.gpr","p5_l","1","B","R"
"109","linear_003216_02__prestain_position6_TG.gpr","p6_l","1","B","R"
"110","linear_003216_02__prestain_position7_MS.gpr","p7_l","1","B","R"
"111","linear_003216_02__prestain_position8_AM.gpr","p8_l","1","B","R"
"112","linear_003216_02__prestain_position9_PS.gpr","p9_l","1","B","R"
"113","linear_003216_02_sera__position1_RG.gpr","p1_l","1","A","R"
"114","linear_003216_02_sera__position10_K4.gpr","p10_l","1","K","R"
"115","linear_003216_02_sera__position11_RK.gpr","p11_l","1","F","R"
"116","linear_003216_02_sera__position12_VS.gpr","p12_l","1","X","R"
"117","linear_003216_02_sera__position13_K5.gpr","p13_l","1","K","R"
"118","linear_003216_02_sera__position14_NV.gpr","p14_l","1","A","R"
"119","linear_003216_02_sera__position15_LG.gpr","p15_l","1","X","R"
"120","linear_003216_02_sera__position16_SK.gpr","p16_l","1","F","R"
"121","linear_003216_02_sera__position2_K2.gpr","p2_l","1","K","R"
"122","linear_003216_02_sera__position3_PG.gpr","p3_l","1","F","R"
"123","linear_003216_02_sera__position4 _AA.gpr","p4_l","1","X","R"
"124","linear_003216_02_sera__position5_K3.gpr","p5_l","1","K","R"
"125","linear_003216_02_sera__position6_TG.gpr","p6_l","1","A","R"
"126","linear_003216_02_sera__position7_MS.gpr","p7_l","1","X","R"
"127","linear_003216_02_sera__position8_AM.gpr","p8_l","1","F","R"
"128","linear_003216_02_sera__position9_PS.gpr","p9_l","1","A","R"
